Willingness to take vaccine,Gender,Age,Education,Race,Financial Status,State,Census Region
yes,Female,61-70,Masters,White,Upper middle class,Florida,South Atlantic
yes,Male,25-44,Masters,Asian,Upper middle class,New York,Mid-Atlantic
yes,Female,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,25-44,Masters,Black,Middle class,New Jersey,Mid-Atlantic
no,Female,45-60,Masters,Black,Middle class,Georgia,South Atlantic
yes,Male,45-60,Graduate,White,Upper middle class,Michigan,East North Central
yes,Female,45-60,Undergraduate,White,Wealthy,New York,Mid-Atlantic
yes,Female,25-44,Highschool,Hispanic,Middle class,Tennessee,East South Central
yes,Female,25-44,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Middle class,Ohio,East North Central
yes,Female,25-44,Graduate,Black,Middle class,New Jersey,Mid-Atlantic
yes,Female,45-60,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Undergraduate,White,Middle class,New Jersey,Mid-Atlantic
yes,Female,18-24,Highschool,White,Middle class,Virginia,South Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Lower middle class/poor,Washington,Pacific
yes,Female,18-24,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,45-60,Highschool,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,White,Wealthy,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Wealthy,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,Georgia,South Atlantic
yes,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Masters,Asian,Middle class,California,Pacific
yes,Male,25-44,Masters,Other,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Undergraduate,Asian,Middle class,California,Pacific
yes,Male,25-44,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,Other,Middle class,Nebraska,West North Central
yes,Female,25-44,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Masters,Hispanic,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Graduate,White,Middle class,Maryland,South Atlantic
yes,Female,45-60,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,45-60,Highschool,White,Middle class,Michigan,East North Central
yes,Male,61-70,Highschool,White,Wealthy,Pennsylvania,Mid-Atlantic
no,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Undergraduate,Asian,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,White,Middle class,Maryland,South Atlantic
yes,Female,25-44,Graduate,Asian,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Masters,Asian,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,Other,Upper middle class,Texas,West South Central
